Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00d2be,2.0,1.0,Finished,0 days 01:32:06.350000,25.0,,2019,Chinese Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00d2be,1.0,2.0,Finished,0 days 00:00:06.552000,18.0,,2019,Chinese Grand Prix,R
VET,Sebastian Vettel,Ferrari,dc0000,3.0,3.0,Finished,0 days 00:00:13.774000,15.0,,2019,Chinese Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1e41ff,5.0,4.0,Finished,0 days 00:00:27.627000,12.0,,2019,Chinese Grand Prix,R
LEC,Charles Leclerc,Ferrari,dc0000,4.0,5.0,Finished,0 days 00:00:31.276000,10.0,,2019,Chinese Grand Prix,R
GAS,Pierre Gasly,Red Bull Racing,1e41ff,6.0,6.0,Finished,0 days 00:01:29.307000,9.0,,2019,Chinese Grand Prix,R
RIC,Daniel Ricciardo,Renault,fff500,7.0,7.0,+1 Lap,,6.0,,2019,Chinese Grand Prix,R
PER,Sergio Perez,Racing Point,f596c8,12.0,8.0,+1 Lap,,4.0,,2019,Chinese Grand Prix,R
RAI,Kimi Räikkönen,Alfa Romeo Racing,9b0000,13.0,9.0,+1 Lap,,2.0,,2019,Chinese Grand Prix,R
ALB,Alexander Albon,Toro Rosso,469bff,0.0,10.0,+1 Lap,,1.0,,2019,Chinese Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,bd9e57,10.0,11.0,+1 Lap,,0.0,,2019,Chinese Grand Prix,R
STR,Lance Stroll,Racing Point,f596c8,16.0,12.0,+1 Lap,,0.0,,2019,Chinese Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,bd9e57,9.0,13.0,+1 Lap,,0.0,,2019,Chinese Grand Prix,R
SAI,Carlos Sainz,McLaren,ff8700,14.0,14.0,+1 Lap,,0.0,,2019,Chinese Grand Prix,R
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9b0000,19.0,15.0,+1 Lap,,0.0,,2019,Chinese Grand Prix,R
RUS,George Russell,Williams,ffffff,17.0,16.0,+2 Laps,,0.0,,2019,Chinese Grand Prix,R
KUB,Robert Kubica,Williams,ffffff,18.0,17.0,+2 Laps,,0.0,,2019,Chinese Grand Prix,R
NOR,Lando Norris,McLaren,ff8700,15.0,18.0,Collision,,0.0,,2019,Chinese Grand Prix,R
KVY,Daniil Kvyat,Toro Rosso,469bff,11.0,19.0,Collision,,0.0,,2019,Chinese Grand Prix,R
HUL,Nico Hulkenberg,Renault,fff500,8.0,20.0,Power Unit,,0.0,,2019,Chinese Grand Prix,R
