Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00D2BE,1.0,1.0,Finished,0 days 01:37:16.427000,25.0,,2018,Hungarian Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,4.0,2.0,Finished,0 days 00:00:17.123000,18.0,,2018,Hungarian Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,3.0,3.0,Finished,0 days 00:00:20.101000,15.0,,2018,Hungarian Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,12.0,4.0,Finished,0 days 00:00:46.419000,12.0,,2018,Hungarian Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,2.0,5.0,Finished,0 days 00:00:50,10.0,,2018,Hungarian Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,6.0,6.0,Finished,0 days 00:01:13.273000,8.0,,2018,Hungarian Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,9.0,7.0,+1 Lap,,6.0,,2018,Hungarian Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,11.0,8.0,+1 Lap,,4.0,,2018,Hungarian Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,5.0,9.0,+1 Lap,,2.0,,2018,Hungarian Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,10.0,10.0,+1 Lap,,1.0,,2018,Hungarian Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,8.0,11.0,+1 Lap,,0.0,,2018,Hungarian Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,13.0,12.0,+1 Lap,,0.0,,2018,Hungarian Grand Prix,R
OCO,Esteban Ocon,Force India,F596C8,18.0,13.0,+1 Lap,,0.0,,2018,Hungarian Grand Prix,R
PER,Sergio Perez,Force India,F596C8,19.0,14.0,+1 Lap,,0.0,,2018,Hungarian Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,14.0,15.0,+2 Laps,,0.0,,2018,Hungarian Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,20.0,16.0,+2 Laps,,0.0,,2018,Hungarian Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,15.0,17.0,+2 Laps,,0.0,,2018,Hungarian Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,16.0,18.0,Gearbox,,0.0,,2018,Hungarian Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,7.0,19.0,Power loss,,0.0,,2018,Hungarian Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,17.0,20.0,Suspension,,0.0,,2018,Hungarian Grand Prix,R
