Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00d2be,3.0,1.0,Finished,0 days 01:35:03.796000,25.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png,2019,Hungarian Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1e41ff,1.0,2.0,Finished,0 days 00:00:17.796000,19.0,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png,2019,Hungarian Grand Prix,R
VET,Sebastian Vettel,Ferrari,dc0000,5.0,3.0,Finished,0 days 00:01:01.433000,15.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SEBVET01_Sebastian_Vettel/sebvet01.png,2019,Hungarian Grand Prix,R
LEC,Charles Leclerc,Ferrari,dc0000,4.0,4.0,Finished,0 days 00:01:05.250000,12.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png,2019,Hungarian Grand Prix,R
SAI,Carlos Sainz,McLaren,ff8700,8.0,5.0,+1 Lap,,10.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png,2019,Hungarian Grand Prix,R
GAS,Pierre Gasly,Red Bull Racing,1e41ff,6.0,6.0,+1 Lap,,8.0,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png,2019,Hungarian Grand Prix,R
RAI,Kimi Räikkönen,Alfa Romeo Racing,9b0000,10.0,7.0,+1 Lap,,6.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KIMRAI01_Kimi_R%C3%A4ikk%C3%B6nen/kimrai01.png,2019,Hungarian Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00d2be,2.0,8.0,+1 Lap,,4.0,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png,2019,Hungarian Grand Prix,R
NOR,Lando Norris,McLaren,ff8700,7.0,9.0,+1 Lap,,2.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png,2019,Hungarian Grand Prix,R
ALB,Alexander Albon,Toro Rosso,469bff,12.0,10.0,+1 Lap,,1.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png,2019,Hungarian Grand Prix,R
PER,Sergio Perez,Racing Point,f596c8,16.0,11.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SERPER01_Sergio_Perez/serper01.png,2019,Hungarian Grand Prix,R
HUL,Nico Hulkenberg,Renault,fff500,11.0,12.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/N/NICHUL01_Nico_Hulkenberg/nichul01.png,2019,Hungarian Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,bd9e57,14.0,13.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png,2019,Hungarian Grand Prix,R
RIC,Daniel Ricciardo,Renault,fff500,20.0,14.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png,2019,Hungarian Grand Prix,R
KVY,Daniil Kvyat,Toro Rosso,469bff,13.0,15.0,+2 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANKVY01_Daniil_Kvyat/dankvy01.png,2019,Hungarian Grand Prix,R
RUS,George Russell,Williams,ffffff,15.0,16.0,+2 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png,2019,Hungarian Grand Prix,R
STR,Lance Stroll,Racing Point,f596c8,18.0,17.0,+2 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png,2019,Hungarian Grand Prix,R
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9b0000,17.0,18.0,+2 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ANTGIO01_Antonio_Giovinazzi/antgio01.png,2019,Hungarian Grand Prix,R
KUB,Robert Kubica,Williams,ffffff,19.0,19.0,+3 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/R/ROBKUB01_Robert_Kubica/robkub01.png,2019,Hungarian Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,bd9e57,9.0,20.0,Water pressure,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/R/ROMGRO01_Romain_Grosjean/romgro01.png,2019,Hungarian Grand Prix,R
